 272926 213239  696.29203   63  768  673.00000  701.80320  4.28%   200 1308s
 274077 214388  690.73720   81  738  673.00000  701.80320  4.28%   200 1315s
 275392 215424  676.97705  131  412  673.00000  701.79390  4.28%   200 1321s
 276590 216545  700.00822   48  751  673.00000  701.78574  4.28%   201 1327s
 277855 217508  691.87301   75  706  673.00000  701.78328  4.28%   201 1333s
 279016 218592  700.58570   57  744  673.00000  701.77946  4.28%   201 1339s
 280231 219678  695.33231   65  699  673.00000  701.77445  4.28%   201 1345s
 281524 220647  691.04349   67  679  673.00000  701.76932  4.27%   201 1350s
 282644 221625  687.09607   94  649  673.00000  701.76452  4.27%   201 1357s
 283769 222490  700.13986   49  747  673.00000  701.76017  4.27%   201 1362s
 284742 223731  693.06800   69  708  673.00000  701.76017  4.27%   201 1369s
 286138 224597  681.27296  102  582  673.00000  701.75689  4.27%   201 1376s
 287096 225801  697.49132   54  729  673.00000  701.75357  4.27%   201 1384s
 288313 227451  690.04818   79  625  673.00000  701.75321  4.27%   202 1391s
 290154 228313  694.35998   74  705  673.00000  701.74619  4.27%   202 1398s
 291169 229360  688.86351   64  604  673.00000  701.74224  4.27%   202 1404s
 292447 230404  691.66258   73  697  673.00000  701.73601  4.27%   202 1409s
 293651 231521  679.26658  119  594  673.00000  701.72810  4.27%   202 1415s
 294971 232448  692.41579   57  687  673.00000  701.71916  4.27%   202 1421s
 296115 233152  676.34518  117  565  673.00000  701.71511  4.27%   202 1427s
 296866 234284  690.93169   83  689  673.00000  701.71231  4.27%   202 1434s
 298166 235359  698.22550   55  731  673.00000  701.70909  4.27%   202 1440s
 299427 236154  694.27176   63  714  673.00000  701.70379  4.27%   202 1446s
 300347 236724  698.17055   55  758  673.00000  701.69891  4.26%   203 1452s
 300917 239577  691.22577   72  703  673.00000  701.69883  4.26%   203 1464s
 303988 240334  677.76026  126  599  673.00000  701.69685  4.26%   203 1470s
 304883 241186  687.82808   65  669  673.00000  701.69538  4.26%   204 1476s
 305828 242305  697.84871   59  739  673.00000  701.69177  4.26%   204 1482s
 307063 242987  698.52102   54  738  673.00000  701.68784  4.26%   204 1488s
 307772 244231  694.18198   66  694  673.00000  701.68784  4.26%   204 1495s
 309057 245365  685.89405   95  629  673.00000  701.68663  4.26%   204 1502s
 310317 246577  696.78890   55  716  673.00000  701.68369  4.26%   205 1509s
 311633 247612  699.50833   57  758  673.00000  701.68171  4.26%   205 1515s
 312847 248599  692.03840   81  690  673.00000  701.67776  4.26%   205 1521s
 313985 249731  678.76788  118  600  673.00000  701.67626  4.26%   205 1528s
 315349 250795  696.87896   58  746  673.00000  701.67087  4.26%   205 1534s
 316598 251785  690.96570   73  687  673.00000  701.66416  4.26%   205 1539s
 317741 252800  683.11178  103  614  673.00000  701.66143  4.26%   205 1545s
 318913 253492  697.96123   56  733  673.00000  701.65657  4.26%   205 1551s
 319739 254221  699.34028   52  727  673.00000  701.65241  4.26%   205 1557s
 320468 256089  691.93731   73  690  673.00000  701.65223  4.26%   206 1565s
 322424 256841  699.29216   54  768  673.00000  701.65096  4.26%   206 1572s
 323315 258069  696.51477   59  722  673.00000  701.64854  4.26%   206 1579s
 324605 259262  685.18348   92  616  673.00000  701.64731  4.26%   206 1586s
 326024 260117  678.96309  118  591  673.00000  701.64050  4.26%   206 1591s
 326998 261002  694.15247   70  716  673.00000  701.63418  4.25%   206 1598s
 327884 262513  683.37252  104  630  673.00000  701.63395  4.25%   207 1605s
 329514 263678  698.05946   57  759  673.00000  701.63369  4.25%   207 1612s
 330795 264938  688.52834   89  663  673.00000  701.63354  4.25%   207 1618s
