 424409 346425  472.19839   55  314  443.00000  475.97917  7.44%   108  435s
 429175 350475     cutoff  152       443.00000  475.97119  7.44%   108  440s
 433804 354596  457.85294  106  231  443.00000  475.95854  7.44%   108  445s
 439767 359530  467.69643   64  280  443.00000  475.94954  7.44%   108  451s
 444032 363431  459.88813   79  266  443.00000  475.93750  7.44%   108  455s
 448313 367278  463.20712   72  275  443.00000  475.92165  7.43%   108  460s
 453128 371547  469.88889   62  261  443.00000  475.91667  7.43%   108  465s
 457678 375370  471.84524   56  292  443.00000  475.90078  7.43%   108  470s
 462175 379461  471.02292   54  307  443.00000  475.89182  7.42%   108  475s
 465827 382677  459.36786   86  273  443.00000  475.88028  7.42%   108  480s
 470462 386469  472.94722   48  304  443.00000  475.87500  7.42%   109  485s
 475149 390628  449.32485  144  122  443.00000  475.85532  7.42%   109  490s
 480043 394666  474.25528   43  287  443.00000  475.84187  7.41%   109  495s
 484209 398477  463.67531   73  297  443.00000  475.83333  7.41%   109  500s
 488478 402537  464.91416   78  277  443.00000  475.82657  7.41%   109  506s
 492437 405928  471.51250   55  285  443.00000  475.82586  7.41%   109  510s
 497474 410384  449.37500  162  166  443.00000  475.81783  7.41%   109  516s
 502214 414459  450.65247  126  192  443.00000  475.80303  7.40%   109  520s
 506295 418077  454.55485  108  219  443.00000  475.79571  7.40%   109  525s
 511154 422402  458.08333   87  216  443.00000  475.79020  7.40%   109  531s
 514853 425487  454.40625   86  241  443.00000  475.77778  7.40%   109  535s
 519844 429801  466.75000   75  285  443.00000  475.77322  7.40%   110  540s
 523107 432919  466.50000   66  250  443.00000  475.76438  7.40%   110  545s
 527752 437364  456.50000   76  173  443.00000  475.75567  7.39%   110  550s
 531724 440932  450.50000  124  182  443.00000  475.75000  7.39%   110  555s
 536511 445017  472.25000   53  302  443.00000  475.75000  7.39%   110  560s
 541213 449186  472.22222   48  304  443.00000  475.74900  7.39%   110  565s
 546066 453098  459.02083   72  256  443.00000  475.73611  7.39%   110  570s
 550769 457131  469.28667   60  291  443.00000  475.72340  7.39%   110  576s
 554196 460130  456.15354   85  254  443.00000  475.71647  7.39%   110  580s
 558917 464495  448.15531  121  173  443.00000  475.70854  7.38%   110  585s
